,hora,comuna,tipo_calle,calle,longitud,latutid,victima,FECHA ,SEXO,EDAD_VICTIMA
11752,09:31:00 a.m.,1,AVENIDA,RIVADAVIA AV.,-58.384869551224,-34.608687268948,CICLISTA,2020-02-20,Mujer,22
11753,09:30:00 a.m.,5,CALLE,ESTADO DE PALESTINA,-58.42546560971,-34.601448054706,CICLISTA,2020-02-20,Varon,59
11754,08:45:00 a.m.,11,GRAL PAZ,"PAZ, GRAL. AV.",-58.515334938952,-34.583191663632,CICLISTA,2020-02-20,Mujer,28
11755,04:00:00 p.m.,10,CALLE,"SASTRE, MARCOS",-58.507356974273,-34.614842563992,CICLISTA,2020-02-20,sd,sd
11756,04:15:00 p.m.,15,CALLE,PLAZA,-58.470865251516,-34.574496382258,CICLISTA,2020-02-20,Mujer,54
11757,03:30:00 a.m.,12,AVENIDA,DE LOS CONSTITUYENTES AV.,-58.509930461176,-34.56919739421,CICLISTA,2020-02-21,sd,sd
11758,03:40:00 p.m.,5,CALLE,MAZA,-58.416777331557,-34.612231191633,CICLISTA,2020-02-21,Varon,29
11760,04:30:00 p.m.,10,CALLE,ZELADA,-58.500024307172,-34.643740792308,CICLISTA,2020-02-21,Varon,25
11762,03:30:00 p.m.,14,AVENIDA,DEL LIBERTADOR AV.,-58.42174360958,-34.571822869962,CICLISTA,2020-02-22,Varon,20
11763,04:00:00 p.m.,5,CALLE,POTOSI,-58.422915898163,-34.607268238797,CICLISTA,2020-02-22,Mujer,54
11764,07:39:00 p.m.,11,CALLE,CAMPANA,-58.498840951573,-34.59958183008,CICLISTA,2020-02-22,Varon,38
11765,11:16:00 p.m.,4,AVENIDA,SUAREZ AV.,-58.377093345924,-34.640350824684,CICLISTA,2020-02-23,Varon,28
11766,09:00:00 p.m.,5,AVENIDA,LINIERS VIRREY,-58.415825590649,-34.610833904689,PEATON,2020-02-23,Varon,37
11768,08:35:00 a.m.,15,AVENIDA,DE LOS CONSTITUYENTES AV.,-58.484709995458,-34.589118953613,CICLISTA,2020-02-26,Varon,74
11769,12:25:00 p.m.,10,CALLE,AVELLANEDA,-58.489401934661,-34.632841404833,CICLISTA,2020-02-26,Mujer,74
11770,05:30:00 p.m.,7,CALLE,PUAN,-58.445546012974,-34.631008783434,CICLISTA,2020-02-26,Varon,25
11771,01:00:00 a.m.,13,CALLE,GRECIA,-58.467722262235,-34.540530066282,CICLISTA,2020-02-27,Varon,26
11772,11:00:00 a.m.,11,CALLE,TINOGASTA,-58.516743405834,-34.613176115353,CICLISTA,2020-02-27,Mujer,24
11773,03:00:00 p.m.,4,CALLE,AZARA,-58.371404584348,-34.638256723248,CICLISTA,2020-02-27,Varon,47
11775,08:00:00 p.m.,3,CALLE,SARANDI,-58.394498857934,-34.620544921846,CICLISTA,2020-02-27,Mujer,27
11776,06:40:00 p.m.,5,CALLE,LINIERS VIRREY,-58.413033252937,-34.633333121485,CICLISTA,2020-02-27,Mujer,40
11777,06:00:00 p.m.,13,AVENIDA,"RIVERA, PEDRO I., DR.",-58.465826800683,-34.559463317179,CICLISTA,2020-02-27,Varon,12
11778,01:40:00 p.m.,10,AVENIDA,LOPE DE VEGA AV.,-58.510958623245,-34.624560396245,CICLISTA,2020-02-28,Varon,27
11779,12:00:00 p.m.,2,CALLE,LAPRIDA,-58.406169311149,-34.59289853542,CICLISTA,2020-02-28,Varon,26
11780,10:00:00 p.m.,1,AVENIDA,DE MAYO AV.,-58.383441816107,-34.609190927189,CICLISTA,2020-02-28,Varon,27
11783,01:20:00 p.m.,15,CALLE,VERA,-58.435337459452,-34.601495998717,CICLISTA,2020-03-01,Mujer,63
11784,05:40:00 p.m.,14,AVENIDA,CORDOBA AV.,-58.42336930425,-34.597744873389,CICLISTA,2020-03-01,Varon,38
11785,10:00:00 a.m.,8,AVENIDA,ESCALADA AV.,-58.467940229768,-34.666376661677,CICLISTA,2020-03-02,Varon,26
11786,10:50:00 a.m.,6,CALLE,FRAGATA PRES. SARMIENTO,-58.454142025615,-34.612809373699,CICLISTA,2020-03-02,Mujer,38
11787,09:00:00 p.m.,7,AVENIDA,ASAMBLEA AV.,-58.437289173172,-34.634938961446,CICLISTA,2020-03-02,Varon,20
11788,04:55:00 p.m.,8,GRAL PAZ,"PAZ, GRAL. AV.",-58.479175812045,-34.691835549834,CICLISTA,2020-03-02,Mujer,26
11789,09:30:00 p.m.,15,AVENIDA,"JUSTO, JUAN B. AV.",-58.439659569675,-34.591541189028,CICLISTA,2020-03-02,Mujer,31
11790,09:40:00 a.m.,1,AVENIDA,CORRIENTES AV.,-58.37385386107,-34.603232007757,CICLISTA,2020-03-03,Varon,33
11791,01:10:00 p.m.,11,CALLE,CAMARONES,-58.4803231611,-34.61247320778,CICLISTA,2020-03-03,Mujer,22
11792,06:00:00 p.m.,3,AVENIDA,ENTRE RIOS AV.,-58.391700259041,-34.618158071252,CICLISTA,2020-03-03,Mujer,31
11793,08:45:00 p.m.,7,CALLE,"ALVAREZ, DONATO, TTE. GRAL.",-58.458499627703,-34.615899734142,CICLISTA,2020-03-03,Varon,36
11794,11:48:00 a.m.,15,AVENIDA,DE LOS CONSTITUYENTES AV.,-58.48683687706,-34.587157262588,CICLISTA,2020-03-04,Mujer,24
11796,02:30:00 p.m.,11,CALLE,"GARCIA, JUAN AGUSTIN",-58.483227657697,-34.61093679692,CICLISTA,2020-03-04,Varon,44
11798,09:15:00 a.m.,5,CALLE,ESTADOS UNIDOS,-58.426302137447,-34.623470015266,CICLISTA,2020-03-05,Mujer,60
11799,04:20:00 p.m.,10,AVENIDA,CARRASCO AV.,-58.495874196148,-34.628733518748,CICLISTA,2020-03-05,Varon,32
11801,07:30:00 a.m.,9,AVENIDA,SAN JUAN BAUTISTA DE LA SALLE AV.,-58.479445693043,-34.654102513527,CICLISTA,2020-03-05,Varon,29
11802,08:05:00 a.m.,11,CALLE,CONDARCO,-58.476459751077,-34.613075208427,CICLISTA,2020-03-06,Varon,29
11803,08:35:00 a.m.,9,AVENIDA,DIRECTORIO AV.,-58.484571320499,-34.645554629669,CICLISTA,2020-03-06,Varon,27
11805,04:45:00 p.m.,7,CALLE,YERBAL,-58.457099912534,-34.625679716579,CICLISTA,2020-03-06,Varon,36
11806,05:08:00 p.m.,9,AVENIDA,"GARZON, EUGENIO, GRAL. AV.",-58.494412737058,-34.658699686935,CICLISTA,2020-03-07,Mujer,37
11807,05:08:00 p.m.,9,AVENIDA,"GARZON, EUGENIO, GRAL. AV.",-58.494412737058,-34.658699686935,CICLISTA,2020-03-07,Varon,15
11809,01:00:00 p.m.,13,CALLE,SUPERI,-58.468962274174,-34.565074179242,CICLISTA,2020-03-08,Mujer,27
11810,08:20:00 p.m.,14,AVENIDA,CORDOBA AV.,-58.42336930425,-34.597744873389,CICLISTA,2020-03-08,Varon,33
11811,10:10:00 p.m.,1,CALLE,PARAGUAY,-58.382562158056,-34.598126770274,CICLISTA,2020-03-09,Varon,48
11812,02:20:00 p.m.,2,AVENIDA,AUSTRIA,-58.397314748992,-34.583078872657,CICLISTA,2020-03-09,Varon,41
11813,03:55:00 p.m.,1,CALLE,MONTEVIDEO,-58.389273596479,-34.602500877918,CICLISTA,2020-03-09,Varon,51
11816,11:45:00 a.m.,15,CALLE,FITZ ROY,-58.442275515223,-34.589029512041,CICLISTA,2020-03-10,Mujer,43
11817,11:45:00 a.m.,15,CALLE,FITZ ROY,-58.442275515223,-34.589029512041,CICLISTA,2020-03-10,Varon,4
11818,07:40:00 p.m.,8,AVENIDA,RIESTRA AV.,-58.473208170175,-34.674949961872,CICLISTA,2020-03-11,Varon,47
11819,01:20:00 p.m.,10,CALLE,CHIVILCOY,-58.500531095742,-34.612571075624,CICLISTA,2020-03-12,Mujer,38
11821,01:30:00 a.m.,14,CALLE,"ALVAREZ, JULIAN",-58.424288365316,-34.592870575471,CICLISTA,2020-03-13,Mujer,26
11822,07:15:00 p.m.,9,CALLE,FONROUGE,-58.514023468438,-34.640986524586,CICLISTA,2020-03-14,Mujer,34
11823,11:30:00 p.m.,14,AVENIDA,DEL LIBERTADOR AV.,-58.42174360958,-34.571822869962,CICLISTA,2020-03-15,Varon,24
11825,09:30:00 p.m.,2,CALLE,JUNCAL,-58.399961853587,-34.592001486557,CICLISTA,2020-03-15,Varon,62
11826,01:41:00 p.m.,6,CALLE,AVELLANEDA,-58.442484558754,-34.616239931391,CICLISTA,2020-03-16,Varon,28
11827,09:20:00 a.m.,15,CALLE,"ESCALADA DE SAN MARTIN, R.",-58.451269580834,-34.601048112329,CICLISTA,2020-03-16,Varon,35
11828,07:30:00 a.m.,10,AVENIDA,"PORCEL DE PERALTA, MANUEL",-58.524147067805,-34.628437266016,CICLISTA,2020-03-16,Varon,31
11829,03:29:00 p.m.,10,AVENIDA,MOZART,-58.492131936371,-34.63629087542,CICLISTA,2020-03-17,Varon,29
11830,05:20:00 p.m.,12,CALLE,ECHEVERRIA,-58.488897711463,-34.583394735452,CICLISTA,2020-03-17,Varon,43
11831,10:00:00 a.m.,5,AVENIDA,CHICLANA AV.,-58.413058124334,-34.635387310802,CICLISTA,2020-03-18,Varon,55
11833,12:15:00 p.m.,7,CALLE,"BONIFACIO, JOSE",-58.457067451228,-34.631107241279,CICLISTA,2020-03-19,Varon,30
11834,12:20:00 p.m.,1,AVENIDA,AZOPARDO,-58.367572401581,-34.615684099544,CICLISTA,2020-03-19,Varon,35
11835,11:45:00 p.m.,1,CALLE,MONTEVIDEO,-58.38951018885,-34.607238242237,CICLISTA,2020-03-24,Varon,39
11837,07:50:00 p.m.,1,CALLE,TUCUMAN,-58.381105632444,-34.601355319893,CICLISTA,2020-03-25,Varon,20
11839,07:30:00 p.m.,1,AVENIDA,"MADERO, EDUARDO AV.",-58.371504019225,-34.594001249189,CICLISTA,2020-03-30,Mujer,37
11841,05:00:00 p.m.,7,AVENIDA,RIVADAVIA AV.,-58.469534680125,-34.630867889571,CICLISTA,2020-04-01,Varon,26
11842,01:40:00 p.m.,14,CALLE,ZAPATA,-58.439599345951,-34.574509175183,CICLISTA,2020-04-07,Varon,37
11843,02:20:00 p.m.,8,AVENIDA,PIEDRA BUENA AV.,-58.482073167756,-34.682567224399,CICLISTA,2020-04-11,Varon,82
11844,04:50:00 p.m.,10,CALLE,"GONZALEZ, ELPIDIO",-58.506967706438,-34.625584524223,CICLISTA,2020-04-16,Varon,73
11845,07:00:00 p.m.,4,AVENIDA,"IRIARTE, GRAL. AV.",-58.378710506295,-34.648961994603,CICLISTA,2020-04-18,Varon,27
11846,09:51:00 p.m.,13,CALLE,IBERA,-58.462702311961,-34.552576987663,CICLISTA,2020-04-18,Mujer,51
11847,06:00:00 p.m.,1,CALLE,LIMA,-58.381672360946,-34.619090355122,CICLISTA,2020-04-21,Varon,21
11848,12:30:00 p.m.,3,CALLE,TUCUMAN,-58.405007224173,-34.60163747863,CICLISTA,2020-04-23,Varon,43
11849,12:30:00 a.m.,1,CALLE,SOLIS,-58.390199641045,-34.620136078468,CICLISTA,2020-04-24,Varon,22
11850,03:45:00 p.m.,1,CALLE,15 DE NOVIEMBRE DE 1889,-58.382666134943,-34.630859548015,CICLISTA,2020-04-24,Varon,42
11851,08:30:00 a.m.,15,CALLE,LA PAMPA,-58.480483392165,-34.579993682259,CICLISTA,2020-04-27,Varon,46
11852,12:50:00 p.m.,12,CALLE,PLAZA,-58.48726074397,-34.553410995554,CICLISTA,2020-04-28,Varon,38
11853,05:40:00 p.m.,13,CALLE,BLANCO ENCALADA,-58.457191987151,-34.558096821975,CICLISTA,2020-04-30,Varon,31
11855,05:00:00 p.m.,13,CALLE,AMENABAR,-58.456938220987,-34.565036045389,CICLISTA,2020-05-01,Varon,38
11856,11:40:00 a.m.,14,AVENIDA,CORDOBA AV.,-58.433566748951,-34.591747101387,CICLISTA,2020-05-02,Varon,33
11857,12:50:00 p.m.,13,CALLE,CIUDAD DE LA PAZ,-58.456855333542,-34.563566432076,CICLISTA,2020-05-04,Mujer,21
11858,01:30:00 p.m.,12,AVENIDA,"LARRALDE, CRISOLOGO AV.",-58.474316145718,-34.552138443415,CICLISTA,2020-05-04,Varon,63
