,ID,FECHA,HORA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Ubicacion del accidente,Dirección Normalizada,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ROL,VICTIMA,SEXO,EDAD
669,20210057,2021-07-10,23:30:00,"AU ILLIA KM 3.2, ALTURA CABINAS DE PEAJE",AUTOPISTA,AUTOPISTA ARTURO ILLIA,AUTOPISTA,AUTOPISTA  ARTURO ILLIA (CABINA DE PEAJE),2,-58.39257023,-34.57563957,AUTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,46
670,20210058,2021-07-21,00:40:00,AV. GRAL. PAZ Y VEDIA,GRAL PAZ,"PAZ, GRAL. AV.",INTERSECCION,"PAZ, GRAL. AV. y VEDIA",12,-58.48941042,-34.54596153,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,24
671,20210059,2021-07-22,01:20:00,"GARAY, JUAN DE AV. 2269",AVENIDA,"GARAY, JUAN DE AV.",MITAD DE CUADRA,"GARAY, JUAN DE AV. 2269",3,-58.39640740,-34.62783085,AUTO-OBJETO FIJO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,44
672,20210060,2021-07-22,12:30:00,"SALGUERO, JERONIMO Y RIVADAVIA AV.",AVENIDA,"SALGUERO, JERONIMO",INTERSECCION,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-58.41971993,-34.61112240,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,80
673,20210061,2021-07-24,09:15:00,"MORENO, PERITO AV. Y ALCORTA, AMANCIO AV.",AVENIDA,"MORENO, PERITO AV.",INTERSECCION,"MORENO, PERITO AV. y ALCORTA, AMANCIO AV.",4,-58.40544588,-34.65012801,PEATON-CARGAS,CARGAS,PEATON,PEATON,FEMENINO,55
674,20210062,2021-07-27,07:16:00,LA PLATA AV. 2723,AVENIDA,LA PLATA AV.,MITAD DE CUADRA,LA PLATA AV. 2723,4,-58.42003882,-34.64645957,AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,73
675,20210063,2021-08-02,04:40:00,"ALBERDI, JUAN BAUTISTA AV. 2906",AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",MITAD DE CUADRA,"ALBERDI, JUAN BAUTISTA AV. 2906",7,-58.46851293,-34.63348678,AUTO-AUTO,AUTO,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,31
676,20210064,2021-08-02,20:00:00,"PAZ, GRAL. AV. Y TONELERO",GRAL PAZ,"PAZ, GRAL. AV.",INTERSECCION,"PAZ, GRAL. AV. y TONELERO",9,-58.52931141,-34.65422917,PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,37
677,20210065,2021-08-06,08:30:00,Av. SAN JUAN Y AV. LA PLATA,AVENIDA,SAN JUAN AV.,INTERSECCION,SAN JUAN AV. y LA PLATA AV.,6,-58.42675754,-34.62699730,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,63
678,20210066,2021-08-06,20:00:00,Av. LOPE DE VEGA Y AV. GRAL. PAZ,AVENIDA,LOPE DE VEGA AV.,INTERSECCION,"LOPE DE VEGA AV. y PAZ, GRAL. AV.",11,-58.52933723,-34.61098186,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,59
679,20210067,2021-08-08,09:29:00,"AU FRONDIZI KM 2,9 (ALTURA BRASIL)",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,-58.37910943,-34.62764718,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,27
680,20210068,2021-08-15,06:10:00,"BEIRO, FRANCISCO AV. 5071",AVENIDA,"BEIRO, FRANCISCO AV.",MITAD DE CUADRA,"BEIRO, FRANCISCO AV. 5071",11,-58.52161176,-34.61164474,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,39
681,20210069,2021-08-20,17:15:00,AV. SANTA FE 3428,AVENIDA,SANTA FE AV.,MITAD DE CUADRA,SANTA FE AV. 3428,14,-58.41354692,-34.58697680,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,17
682,20210070,2021-08-28,08:30:00,"CHILAVERT, MARTINIANO, CORONEL Y VARELA AV.",AVENIDA,"CHILAVERT, MARTINIANO, CORONEL",INTERSECCION,"CHILAVERT, MARTINIANO, CORONEL y VARELA AV.",8,-58.43960781,-34.65470804,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,31
683,20210071,2021-08-31,16:00:00,SAN LUIS 2730,CALLE,SAN LUIS,MITAD DE CUADRA,SAN LUIS 2730,3,-58.40454610,-34.60003693,PEATON-MOTO,MOTO,PEATON,PEATON,MASCULINO,88
684,20210072,2021-09-01,19:10:00,CALLAO AV. Y PARAGUAY,AVENIDA,CALLAO AV.,INTERSECCION,CALLAO AV. y PARAGUAY,2,-58.39303911,-34.59871111,PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,57
685,20210073,2021-09-18,12:20:00,"DEL LIBERTADOR AV. Y AGOTE, LUIS DR.",AVENIDA,DEL LIBERTADOR AV.,INTERSECCION,"DEL LIBERTADOR AV. y AGOTE, LUIS DR.",2,-58.39391034,-34.58405348,BICICLETA-AUTO,AUTO,CICLISTA,BICICLETA,FEMENINO,76
686,20210074,2021-09-20,15:00:00,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV.",GRAL PAZ,"PAZ, GRAL. AV.",INTERSECCION,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,-58.50073810,-34.54979510,MULTIPLE,MULTIPLE,CONDUCTOR,MOTO,MASCULINO,55
687,20210075,2021-09-21,14:30:00,SALTA Y BRASIL,CALLE,SALTA,INTERSECCION,SALTA y BRASIL,1,-58.38281301,-34.62786038,PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,65
688,20210076,2021-10-16,06:15:00,"MORENO, PERITO AV. 2152",AVENIDA,"MORENO, PERITO AV.",MITAD DE CUADRA,"MORENO, PERITO AV. 2152",7,-58.43980799,-34.65094083,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,31
689,20210077,2021-10-18,07:20:00,DIRECTORIO AV. 1169,AVENIDA,DIRECTORIO AV.,MITAD DE CUADRA,DIRECTORIO AV. 1169,6,-58.44402387,-34.62933109,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,FEMENINO,31
690,20210078,2021-10-23,06:35:00,INDEPENDENCIA AV. Y LA PLATA AV.,AVENIDA,INDEPENDENCIA AV.,INTERSECCION,INDEPENDENCIA AV. y LA PLATA AV.,6,-58.42779702,-34.62207347,MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,22
691,20210079,2021-10-25,03:30:00,TUCUMAN 3112,CALLE,TUCUMAN,MITAD DE CUADRA,TUCUMAN 3112,3,-58.40944147,-34.60097942,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,SD
692,20210080,2021-10-28,16:16:00,ARENALES Y 9 DE JULIO AV.,AVENIDA,ARENALES,INTERSECCION,ARENALES y 9 DE JULIO AV.,1,-58.38277479,-34.59430160,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,32
693,20210081,2021-11-02,13:35:00,AU FRONDIZI SUBIDA BRANDSEN,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRANDSEN,4,-58.37627355,-34.63800916,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,26
694,20210082,2021-11-06,04:39:00,AU 25 DE MAYO KM7 (ALTURA PASCO),AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA,AUTOPISTA 25 DE MAYO y PASCO,3,-58.39591856,-34.62453459,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,38
695,20210083,2021-11-09,00:35:00,CABILDO AV. Y OLAZABAL,AVENIDA,CABILDO AV.,INTERSECCION,CABILDO AV. y OLAZABAL,13,-58.45829717,-34.56015762,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,30
696,20210084,2021-11-11,03:00:00,TAPALQUE Y BRUIX AV.,AVENIDA,TAPALQUE,INTERSECCION,TAPALQUE y BRUIX AV.,9,-58.49142611,-34.64584795,AUTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,32
697,20210085,2021-11-20,18:30:00,"PAZ, GRAL. AV. Y EZEIZA",GRAL PAZ,"PAZ, GRAL. AV.",INTERSECCION,"PAZ, GRAL. AV. y EZEIZA",12,-58.51271409,-34.57786555,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,49
698,20210086,2021-11-25,10:10:00,RIVADAVIA AV. Y PUAN,AVENIDA,RIVADAVIA AV.,INTERSECCION,RIVADAVIA AV. y PUAN,6,-58.44864864,-34.62352826,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,75
699,20210087,2021-11-27,11:22:00,ESMERALDA 1359,CALLE,ESMERALDA,MITAD DE CUADRA,ESMERALDA 1359,1,-58.37795815,-34.59167894,PEATON-BICICLETA,BICICLETA,PEATON,PEATON,FEMENINO,73
700,20210088,2021-12-01,15:40:00,AV. MOROE Y 3 DE FEBRERO,CALLE,MONROE,INTERSECCION,MONROE y 3 DE FEBRERO,13,-58.45531707,-34.55555257,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,45
701,20210089,2021-12-02,01:10:00,AV. GAONA 3655,AVENIDA,GAONA AV.,MITAD DE CUADRA,GAONA AV. 3655,11,-58.47633683,-34.62140594,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,41
702,20210090,2021-12-10,11:45:00,AV. 9 DE JULIO Y LAVALLE,AVENIDA,9 DE JULIO AV.,INTERSECCION,9 DE JULIO AV. y LAVALLE,1,-58.38188582,-34.60256036,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,73
703,20210091,2021-12-11,23:00:00,BAIGORRIA Y VICTOR HUGO,CALLE,BAIGORRIA,INTERSECCION,"BAIGORRIA y HUGO, VICTOR",10,-58.51989389,-34.62284918,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,24
704,20210092,2021-12-12,06:20:00,AV. RIVADAVIA Y AV. PUEYRREDON,AVENIDA,RIVADAVIA AV.,INTERSECCION,RIVADAVIA AV. y PUEYRREDON AV.,3,-58.40596860,-34.61011987,PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,50
705,20210093,2021-12-13,17:10:00,AV. RIESTRA Y MOM,AVENIDA,RIESTRA AV.,INTERSECCION,RIESTRA AV. y MOM,7,-58.43353773,-34.64561636,MOTO-AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,18
706,20210094,2021-12-20,01:10:00,AU DELLEPIANE Y LACARRA,AUTOPISTA,"DELLEPIANE, LUIS, TTE. GRAL.",INTERSECCION,"DELLEPIANE, LUIS, TTE. GRAL. y LACARRA AV.",9,-58.46739825,-34.65117757,MOTO-AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,43
707,20210095,2021-12-30,00:43:00,AV. GAONA Y TERRADA,AVENIDA,GAONA AV.,INTERSECCION,GAONA AV. y TERRADA,11,-58.47293407,-34.61984745,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,27
708,20210096,2021-12-15,10:30:00,AV. EVA PERON 4071,AVENIDA,"PERON, EVA AV.",MITAD DE CUADRA,"PERON, EVA AV. 4071",9,-58.47066794,-34.65021673,AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,60
709,20210097,2021-11-18,06:10:00,PADRE CARLOS MUJICA 709,CALLE,PADRE CARLOS MUJICA,MITAD DE CUADRA,PADRE CARLOS MUGICA 709,1,-58.37976155,-34.58679619,BICICLETA-AUTO,AUTO,CICLISTA,BICICLETA,MASCULINO,53
